decimalLatitude decimalLongitude scientificName
12.52101 -81.726748 "Porphyrio martinica"
12.52101 -81.726748 "Numenius phaeopus"
12.52101 -81.726748 "Thalasseus sandvicensis"
12.52101 -81.726748 "Egretta thula"
12.52101 -81.726748 "Vireo crassirostris"
12.52101 -81.726748 "Passerina cyanea"
12.52101 -81.726748 "Seiurus aurocapilla"
12.52101 -81.726748 "Seiurus noveboracensis"
12.527957 -81.726276 "Porzana carolina"
12.527957 -81.726276 "Calidris minutilla"
12.527957 -81.726276 "Falco sparverius"
12.527957 -81.726276 "Ardea alba"
12.527957 -81.726276 "Vireo olivaceus"
12.527957 -81.726276 "Mimus gilvus"
12.527957 -81.726276 "Setophaga ruticilla"
12.527957 -81.726276 "Dendroica caerulescens"
12.527957 -81.726276 "Catharus ustulatus"
12.539565 -81.706192 "Fulica americana"
4.5166 -74.45 "Fulica americana"
12.1666 -71.3333 "Neocrex colombiana"
5.04 -76.0833 "Pardirallus nigricans"
6.049059 -75.689681 "Pardirallus nigricans"
6.966806 -75.429117 "Pardirallus nigricans"
6.966806 -75.429117 "Pardirallus nigricans"
11.005915 -74.683398 "Porphyrio martinica"
5.96731 -74.96328 "Tersina viridis"
6.341411 -75.733452 "Tersina viridis"
6.03366 -75.15 "Tersina viridis"
6.0833 -77.416092 "Thryothorus nigricapillus"
7.08247 -75.156233 "Thryothorus nigricapillus"
6.58664 -76.24167 "Thryothorus nigricapillus"
6.58664 -76.24167 "Thryothorus nigricapillus"
5.2 -76.1 "Thryothorus nigricapillus"
5.3666 -75.6833 "Thryothorus nigricapillus"
4.770775 -74.068955 "Porphyrio martinica"
4.796915 -76.0822 "Porphyrio martinica"
5.60147 -75.462632 "Porphyrio martinica"
2.962647 -78.197282 "Porphyrio martinica"
6.55081 -75.21748 "Porphyrio martinica"
5.96731 -74.96328 "Porphyrio martinica"
12.547282 -81.71096 "Porphyrio martinica"
4.7 -74.1166 "Porphyrio martinica"
9.5833 -75.6667 "Porphyrio martinica"
9.5833 -75.6667 "Porphyrio martinica"
10.409072 -74.402529 "Porphyrio martinica"
10.767569 -75.202587 "Porphyrio martinica"
5.97527 -74.594414 "Porphyrio martinica"
4.4666 -72.55 "Porphyrio martinica"
9.5833 -75.6667 "Porphyrio martinica"
9.5833 -75.6667 "Porphyrio martinica"
6.25 -74.966667 "Aramides cajanea"
9.5833 -75.6667 "Aramides cajanea"
4.770775 -74.068955 "Fulica americana"
4.9166 -74.1 "Fulica americana"
4.876282 -73.898693 "Fulica americana"
9.5833 -75.6667 "Gallinula chloropus"
4.9166 -74.1 "Gallinula chloropus"
8.35 -75.1 "Gallinula chloropus"
4.5558 -73.5406 "Gallinula chloropus"
4.247303 -76.114683 "Gallinula chloropus"
4.9166 -74.1 "Gallinula chloropus"
3.8927 -76.4975 "Gallinula chloropus"
10.1233 -75.4217 "Gallinula chloropus"
4.6333 -75.6833 "Gallinula chloropus"
4.8 -74.2166 "Gallinula chloropus"
12.539565 -81.706192 "Gallinula chloropus"
4.554522 -74.529533 "Gallinula chloropus"
6.966806 -75.429117 "Gallinula chloropus"
11.3166 -73.15002 "Gallinula chloropus"
4.247303 -76.114683 "Gallinula chloropus"
6.966806 -75.429117 "Gallinula chloropus"
